Numero de documentos del corpus: 3888
Numero de palabras del corpus: 342305
Palabra:aberystwyth	Frec:0	LogProb:0.000002515489124282771
Palabra:abha	Frec:0	LogProb:0.000002515489124282771
Palabra:abhaya	Frec:0	LogProb:0.000002515489124282771
Palabra:abhi	Frec:0	LogProb:0.000002515489124282771
Palabra:abhijeet	Frec:0	LogProb:0.000002515489124282771
Palabra:abhinav	Frec:0	LogProb:0.000002515489124282771
Palabra:abhishek	Frec:0	LogProb:0.000002515489124282771
Palabra:abhista	Frec:0	LogProb:0.000002515489124282771
Palabra:abhivriti	Frec:0	LogProb:0.000002515489124282771
Palabra:abhiyaan	Frec:0	LogProb:0.000002515489124282771
Palabra:abhiyanta	Frec:0	LogProb:0.000002515489124282771
Palabra:abhiyogyata	Frec:0	LogProb:0.000002515489124282771
Palabra:abhm	Frec:0	LogProb:0.000002515489124282771
Palabra:abhor	Frec:0	LogProb:0.000002515489124282771
Palabra:abhorrence	Frec:0	LogProb:0.000002515489124282771
Palabra:abide	Frec:1	LogProb:0.000005030978248565542
Palabra:abided	Frec:0	LogProb:0.000002515489124282771
Palabra:abiding	Frec:0	LogProb:0.000002515489124282771
Palabra:abie	Frec:0	LogProb:0.000002515489124282771
Palabra:abies	Frec:0	LogProb:0.000002515489124282771
Palabra:abigail	Frec:1	LogProb:0.000005030978248565542
Palabra:abilities	Frec:2	LogProb:0.000007546467372848313
Palabra:ability	Frec:50	LogProb:0.00012828994533842133
Palabra:abiti	Frec:0	LogProb:0.000002515489124282771
Palabra:abito	Frec:0	LogProb:0.000002515489124282771
Palabra:abject	Frec:0	LogProb:0.000002515489124282771
Palabra:abjection	Frec:0	LogProb:0.000002515489124282771
Palabra:ableconn	Frec:3	LogProb:0.000010061956497131085
Palabra:abled	Frec:0	LogProb:0.000002515489124282771
Palabra:ablity	Frec:0	LogProb:0.000002515489124282771
Palabra:ably	Frec:0	LogProb:0.000002515489124282771
Palabra:abnormal	Frec:0	LogProb:0.000002515489124282771
Palabra:abnormality	Frec:0	LogProb:0.000002515489124282771
Palabra:abo	Frec:0	LogProb:0.000002515489124282771
Palabra:aboard	Frec:0	LogProb:0.000002515489124282771
Palabra:abode	Frec:0	LogProb:0.000002515489124282771
