Numero de documentos del corpus: 7561
Numero de palabras del corpus: 542829
Palabra:aberration	Frec:5	LogProb:0.000010032421441959933
Palabra:aberrations	Frec:0	LogProb:0.0000016720702403266556
Palabra:aberystwyth	Frec:0	LogProb:0.0000016720702403266556
Palabra:abha	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhaya	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhi	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhijeet	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhinav	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhishek	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhista	Frec:1	LogProb:0.000003344140480653311
Palabra:abhivriti	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhiyaan	Frec:5	LogProb:0.000010032421441959933
Palabra:abhiyanta	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhiyogyata	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhm	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhor	Frec:0	LogProb:0.0000016720702403266556
Palabra:abhorrence	Frec:0	LogProb:0.0000016720702403266556
Palabra:abide	Frec:0	LogProb:0.0000016720702403266556
Palabra:abided	Frec:0	LogProb:0.0000016720702403266556
Palabra:abiding	Frec:0	LogProb:0.0000016720702403266556
Palabra:abie	Frec:0	LogProb:0.0000016720702403266556
Palabra:abies	Frec:2	LogProb:0.000005016210720979967
Palabra:abigail	Frec:0	LogProb:0.0000016720702403266556
Palabra:abilities	Frec:4	LogProb:0.000008360351201633279
Palabra:ability	Frec:40	LogProb:0.00006855487985339288
Palabra:abiti	Frec:0	LogProb:0.0000016720702403266556
Palabra:abito	Frec:0	LogProb:0.0000016720702403266556
Palabra:abject	Frec:0	LogProb:0.0000016720702403266556
Palabra:abjection	Frec:0	LogProb:0.0000016720702403266556
Palabra:ableconn	Frec:0	LogProb:0.0000016720702403266556
Palabra:abled	Frec:0	LogProb:0.0000016720702403266556
Palabra:ablity	Frec:0	LogProb:0.0000016720702403266556
Palabra:ably	Frec:0	LogProb:0.0000016720702403266556
Palabra:abnormal	Frec:5	LogProb:0.000010032421441959933
Palabra:abnormality	Frec:1	LogProb:0.000003344140480653311
Palabra:abo	Frec:1	LogProb:0.000003344140480653311
Palabra:aboard	Frec:0	LogProb:0.0000016720702403266556
Palabra:abode	Frec:0	LogProb:0.0000016720702403266556
Palabra:abolished	Frec:0	LogProb:0.0000016720702403266556
Palabra:abolishes	Frec:1	LogProb:0.000003344140480653311
Palabra:abominations	Frec:0	LogProb:0.0000016720702403266556
Palabra:abony	Frec:3	LogProb:0.000006688280961306622
Palabra:aboriginal	Frec:0	LogProb:0.0000016720702403266556
Palabra:aborn	Frec:0	LogProb:0.0000016720702403266556
Palabra:abortion	Frec:0	LogProb:0.0000016720702403266556
Palabra:abortions	Frec:0	LogProb:0.0000016720702403266556
Palabra:abortive	Frec:0	LogProb:0.0000016720702403266556
Palabra:abound	Frec:0	LogProb:0.0000016720702403266556
Palabra:abounds	Frec:0	LogProb:0.0000016720702403266556
Palabra:abour	Frec:1	LogProb:0.000003344140480653311
Palabra:aboutthefit	Frec:0	LogProb:0.0000016720702403266556
Palabra:aboutthis	Frec:2	LogProb:0.000005016210720979967
Palabra:above	Frec:116	LogProb:0.00019563221811821872
Palabra:abovea	Frec:0	LogProb:0.0000016720702403266556
Palabra:aboveideal	Frec:0	LogProb:0.0000016720702403266556
Palabra:aboveled	Frec:0	LogProb:0.0000016720702403266556
Palabra:abp	Frec:1	LogProb:0.000003344140480653311
Palabra:abpp	Frec:0	LogProb:0.0000016720702403266556
Palabra:abraham	Frec:0	LogProb:0.0000016720702403266556
Palabra:abrahams	Frec:0	LogProb:0.0000016720702403266556
Palabra:abrams	Frec:0	LogProb:0.0000016720702403266556
Palabra:abramson	Frec:0	LogProb:0.0000016720702403266556
Palabra:abrasion	Frec:13	LogProb:0.000023408983364573178
Palabra:abrasive	Frec:28	LogProb:0.00004849003696947301
Palabra:abrasives	Frec:1	LogProb:0.000003344140480653311
Palabra:abreast	Frec:0	LogProb:0.0000016720702403266556
Palabra:abri	Frec:1	LogProb:0.000003344140480653311
Palabra:abridged	Frec:0	LogProb:0.0000016720702403266556
Palabra:abridgement	Frec:0	LogProb:0.0000016720702403266556
Palabra:abridgment	Frec:0	LogProb:0.0000016720702403266556
Palabra:abridgments	Frec:0	LogProb:0.0000016720702403266556
Palabra:abrigrommetcurtains	Frec:1	LogProb:0.000003344140480653311
Palabra:abro	Frec:2	LogProb:0.000005016210720979967
Palabra:abroad	Frec:2	LogProb:0.000005016210720979967
